Category,COST ACCOUNT,ITEM,U.O.M.,FOUN.,GF,FF,SF,TF,FOF,RF,BUDGET QTY,ENG. QTY
 NCO ,,,,,,,,,,, -   ,
 NCO ,S1.P3.NCO.1.9.1,"Interlocking Concrete Pavers, 60 mm thick, including 50 mm sand setting bed, 100 mm aggregate base course, and precast concrete curbstone as per Dwg 1-XG-C-43",?2,, 269.07 ,,,,,, 269.07 , 269.07 
 NCO ,S1.P3.NCO.4.1.1,"Cavity Wall, 300 mm thick, consists of 100 mm and 150 mm thick concrete masonry units, and 50 mm thick rigid insulation.",?2,, 497.03 , 512.92 , 512.92 , 512.92 , 534.21 , -   ," 2,570.02 "," 2,570.02 "
 NCO ,S1.P3.NCO.4.1.2,"Concrete Masonry Unit, 200 mm thick",?2,, -   , -   , -   , -   , -   , 342.08 , 342.08 , 342.08 
 NCO ,S1.P3.NCO.4.1.3,"Concrete Masonry Unit, 200 mm thick, insulated",?2,, 23.33 , 22.68 , 22.68 , 50.76 , 32.56 , -   , 152.01 , 152.01 
 NCO ,S1.P3.NCO.4.2.1.1,Portland Cement Plaster on concrete and masonry surfaces with groove,?2,, 892.49 , 836.02 , 835.89 , 836.02 , 835.89 , 511.14 ," 4,747.45 "," 4,747.45 "
 NCO ,S1.P3.NCO.4.2.1.2,"Painting on cement plaster surfaces, latex aggregate paint",?2,, 892.49 , 836.02 , 835.89 , 836.02 , 835.89 , 511.14 ," 4,747.45 "," 4,747.45 "
 NCO ,S1.P3.NCO.4.2.2.1,Granite Tile,?2,, 13.58 , -   , -   , -   , -   , -   , 13.58 , 13.58 
 NCO ,S1.P3.NCO.4.2.2.2,Floor Hardener  with Epoxy Paint ,?2,, 3.98 , -   , -   , -   , -   , -   , 3.98 , 3.98 
 NCO ,S1.P3.NCO.4.2.2.3,"Granite Tread, 340 mm x 3600 mm x 30 mm thick, with carborundum inserts",???,, 2.00 , -   , -   , -   , -   , -   , 2.00 , 2.00 
 NCO ,S1.P3.NCO.4.2.2.4,"Granite Riser, 130 mm x 3600 mm x 20 mm thick",???,, 2.00 , -   , -   , -   , -   , -   , 2.00 , 2.00 
 NCO ,S1.P3.NCO.4.2.2.5,"Granite Tread, 340 mm x 1050 mm x 30 mm thick, with carborundum inserts",???,, 4.00 , -   , -   , -   , -   , -   , 4.00 , 4.00 
 NCO ,S1.P3.NCO.4.2.2.6,"Granite Riser, 130 mm x 1050 mm x 20 mm thick",???,, 4.00 , -   , -   , -   , -   , -   , 4.00 , 4.00 
 NCO ,S1.P3.NCO.4.2.2.7,"Granite Base, 100 mm high",? ?,, 11.93 , -   , -   , -   , -   , -   , 11.93 , 11.93 
 NCO ,S1.P3.NCO.4.2.3.1,"Painting on fairface concrete surfaces, latex paint",?2,, 25.04 , -   , -   , -   , -   , -   , 25.04 , 25.04 
 NCO ,S1.P3.NCO. 4.3.1,"Type A, 1000 mm x 1000 mm, Sliding, double glazed, swing type, with openable aluminum louver",???,, 36.00 , 36.00 , 36.00 , 36.00 , 36.00 , -   , 180.00 , 180.00 
 NCO ,S1.P3.NCO.4.3.2,"Type B, 400 mm x 600 mm, Awning, double glazing frosted glass; with swing type aluminum louver",???,, 20.00 , 20.00 , 20.00 , 20.00 , 20.00 , -   , 100.00 , 100.00 
