category,subcategory,ITEM DESCRIPTION
SCAFFOLDING,,
SCAFFOLDING,,SCAFFOLLDING ERECTION UP TO 2 STORY BUILDING FOR EXTERINAL WORK
SCAFFOLDING,,SCAFFOLLDING LOOSENING UP TO 2 STORY BUILDING  FOR EXTERINAL WORK
SCAFFOLDING,,SCAFFOLLDING ERECTION UP TO 5 STORY BUILDING FOR EXXTERINAL WORK
SCAFFOLDING,,SCAFFOLLDING LOOSENING UP TO 5 STORY BUILDING FOR EXXTERINAL WORK
SITE WORK,,
SITE WORK,,"Compacting,vibrating roller,  600 mm wide,150 mm lifts, 4 passes"
SITE WORK,,"Excavating hand pits, to 2 Meter Deep, Sandy Soil"
SITE WORK,,"Spread fill dumped material from a stockpile with dozer, 300 HP, 90 m haul"
SITE WORK,,"Spread fill dumped material, by hand, no compaction"
SITE WORK,,"Gravel fill compacted under floor slabs, 100 mm deep"
SITE WORK,,"Base course, 20 mm Stone,compacted, for paved & large areas,150 mm deep"
SITE WORK,,"Wheel stops, fixed"
SITE WORK,,"Fine grade granular base 200 mm thick for slab on grade,in confined area,hand grading"
SITE WORK,,"Sidewalk,limestone pavers, 75 mm thick"
SITE WORK,,"Interlock pavers,100 mm x 200 mm x 57 mm laid flat on 100 mm thick sand bed"
SITE WORK,,Precast Curb stone 150*300*500MM
CONCRETE,,
CONCRETE,,"Cast in place including forms & steel, Spread footings, spread over  4 m3"
CONCRETE,,"Cast in place Lightweight concrete, ready mix 1:3:2,for roof decks, including screed finish only, not including forms or reinforcing"
CONCRETE,,"Finishing concrete floors monolithic,screed finish"
MASONRY,,
MASONRY,,"Concrete Block, Back-up, Reinforced, alternate courses, bar spacing 1.2 meter, 200 mm x 400 mm, 100 mm thick "
MASONRY,,"Concrete Block, Back-up, Reinforced, alternate courses, bar spacing 1.2 meter, 200 mm x 400 mm, 150 mm thick "
MASONRY,,"Concrete Block, Back-up, Reinforced, alternate courses, bar spacing 1.2 meter, 200 mm x 400 mm, 200 mm thick "
MASONRY,,"Concrete Block Bond Beam, including grout and 2 x 20 mm bars reinforcing regular block 200 mm high, 200 mm thick"
MASONRY,,"Concrete Block, Lintels, including grout and reinforcing, 200 mm x 400 mm x 200 mm, 2 x10 mm bar"
MASONRY,,"Concrete Block, Lintels, including grout and reinforcing, 300 mm x 200 mm x 200 mm, 2x16 mm bar"
INSULATION,,
INSULATION,,"Wall insulation rigid,Extruded or expanded polystyrene, 1.75 kg/cm2, 
 50 mm thick or 76 mm thick"
INSULATION,,"Roof deck insulation,Extruded Polystyrene 1.05 kg/cm2 compressive strength, 100mm thick,"
INSULATION,,"Concrete tile, 400 mm x 400 mm,morter bed"
DOORS,,
DOORS,METAL DOORS,
DOORS,METAL DOORS,"Commercial Steel Door,flush,insulated, 44 mm thick,full panel, 18 ga, 915mm x 2135 mm,hardware & frame not included"
DOORS,METAL DOORS,"Commercial Steel Door,flush,insulated, 44 mm thick,full panel, 18 ga, 1220 mm x 2440 mm,hardware & frame not included"
DOORS,METAL FRAMES,
DOORS,METAL FRAMES,"Door frames,150 mm steel channels 12 kg/m, with anchors and bar stops, 915 mm x 2135 mm door, weighs 91 kg"
DOORS,METAL FRAMES,"Door frames, 200 mm steel channels 17 kg/m, with anchors and bar stops, 1830 mm x 2440 mm door, weighs 136 kg"
DOORS,FRAME PAINTING,
DOORS,FRAME PAINTING,"Door frames & trim,only,brushwork, finish coat exterior latex"
DOORS,WOODEN DOORS,
